input,add result,index
0,5.0,0
1,6.0,1
2,7.0,2
3,8.0,3
4,9.0,4
5,10.0,5
6,11.0,6
7,12.0,7
8,13.0,8
9,14.0,9
10,15.0,10
11,16.0,11
12,17.0,12
13,18.0,13
14,19.0,14
15,20.0,15
16,21.0,16
17,22.0,17
18,23.0,18
19,24.0,19
20,25.0,20
21,26.0,21
22,27.0,22
23,28.0,23
24,29.0,24
25,30.0,25
26,31.0,26
27,32.0,27
28,33.0,28
29,34.0,29
30,35.0,30
31,36.0,31
32,37.0,32
33,38.0,33
34,39.0,34
35,40.0,35
36,41.0,36
37,42.0,37
38,43.0,38
39,44.0,39
40,45.0,40
41,46.0,41
42,47.0,42
43,48.0,43
44,49.0,44
45,50.0,45
46,51.0,46
47,52.0,47
48,53.0,48
49,54.0,49
