treatment,outcome
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,No change
Drug,No change
Placebo,No change
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,No change
Drug,No change
Placebo,No change
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,No change
Drug,No change
Placebo,No change
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,Improved
Drug,No change
Placebo,No change
Drug,No change
Placebo,Improved
Drug,No change
Placebo,No change
Drug,No change
Placebo,Improved
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,Improved
Drug,No change
Placebo,No change
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,No change
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,Improved
Drug,No change
Placebo,Improved
Drug,Improved
Placebo,No change
Drug,No change
Placebo,No change
Drug,Improved
Placebo,No change
Drug,No change
Placebo,No change
Drug,No change
Placebo,No change
Drug,Improved
Placebo,Improved
Drug,Improved
Placebo,No change
Drug,No change
Placebo,No change
Drug,No change
Placebo,No change
Drug,No change
Placebo,No change
Drug,No change
Placebo,No change
