hour,activity,time of day
0,7.988350769954515,0
1,3.9557465407114356,1
2,10.518974525817601,2
3,9.352722399082397,3
4,24.754544760835117,4
5,59.9407064440875,5
6,70.67336568311401,6
7,57.49757142141916,7
8,30.28751903658424,8
9,9.049782364314975,9
10,10.40099950957548,10
11,3.2172604803267415,11
12,17.548952787586593,12
13,2.795244335773581,13
14,14.976066594290511,14
15,4.475344618637825,15
16,31.612335612299404,16
17,61.7739576653606,17
18,76.02242654639888,18
19,55.39059257410206,19
20,38.17345842796838,20
21,11.234450873905637,21
22,3.6944301374167323,22
23,13.60448367281548,23
24,7.062128410132079,0
25,7.593114787652535,1
26,6.141145531125067,2
27,12.673384891155573,3
28,32.8929663238973,4
29,59.20782608008333,5
30,67.71710293779472,6
31,62.453882647429744,7
32,35.61122908041435,8
33,15.453896869081607,9
34,1.9082691775992346,10
35,9.501748231555878,11
36,10.968942737666973,12
37,2.846627862915887,13
38,6.672300684529225,14
39,12.300027121071317,15
40,33.16379690189571,16
41,58.25163186550098,17
42,82.8129109292675,18
43,65.96202648339725,19
44,35.30225032814819,20
45,20.313522604978402,21
46,12.55596260215479,22
47,9.827092144784686,23
48,9.420310472363708,0
49,0,1
50,1.2391792011907805,2
51,15.322558126976809,3
52,35.30184618789709,4
53,61.98087139179052,5
54,78.49846814956211,6
55,57.97537117004608,7
56,34.73380958814156,8
57,10.16679269634244,9
58,9.539607891709547,10
59,6.441079736272697,11
60,0,12
61,5.938875507364797,13
62,8.006397032320974,14
63,9.699273304156158,15
64,35.69713312080941,16
65,64.23548566434305,17
66,71.4340557966063,18
67,58.63431801703674,19
68,42.77437357122569,20
69,2.7288867872191513,21
70,9.601871594477146,22
71,13.578267133896542,23
72,3.44834183285663,0
73,11.26079375287097,1
74,5.344341455051685,2
75,12.63502264531253,3
76,36.698850598089564,4
77,63.94632973593116,5
78,73.82715988337301,6
79,71.84297666944924,7
80,26.99595553489616,8
81,15.999231732329527,9
82,5.056279978491508,10
83,7.360909524154346,11
84,4.04558571112406,12
85,0,13
86,0,14
87,9.688890075294111,15
88,30.280004798511058,16
89,61.02876351417584,17
90,78.14666129187603,18
91,54.002518155068095,19
92,32.476889599367034,20
93,10.206080710530903,21
94,2.8489314103807697,22
95,6.776693365248834,23
96,8.993811528612609,0
97,10.52214278136868,1
98,12.33446521142045,2
99,20.34890739386867,3
100,26.5568034510976,4
101,57.99773305370331,5
102,79.59069273154675,6
103,60.77739006932605,7
104,28.122874813398013,8
105,20.894806459197284,9
106,15.305069363778372,10
107,3.0482041229460717,11
108,8.871432819119796,12
109,12.78061810514328,13
110,13.76583707682852,14
111,7.8371596427437975,15
112,35.388328550542695,16
113,60.2515724425268,17
114,71.94799394732011,18
115,63.68807051272466,19
116,22.239707593358155,20
117,14.218775041340484,21
118,3.7266560082171205,22
119,2.4217955833962255,23
120,11.686267798444842,0
121,0.48952567528448654,1
122,3.903555929913577,2
123,13.227126234940647,3
124,36.905971406932046,4
125,58.27916608012062,5
126,72.60788132119762,6
127,67.72662079119016,7
128,21.30256098751029,8
129,18.04284419802492,9
130,4.981093930315415,10
131,4.472175991239684,11
132,9.233003584195359,12
133,4.236680654387774,13
134,11.645261089000389,14
135,5.365043574003403,15
136,25.436679706058452,16
137,54.19390509277537,17
138,75.9304340518249,18
139,58.601828966941035,19
140,33.5756739522253,20
141,12.937883713702602,21
142,5.58823082031718,22
143,9.809369474609191,23
144,7.660064041639297,0
145,0,1
146,9.729631588424198,2
147,8.936453851856388,3
148,28.429282555134495,4
149,58.123705340925596,5
150,75.80796641600978,6
151,71.58744081101001,7
152,34.879393616912694,8
153,21.913970599331137,9
154,14.876313954686339,10
155,8.856568553390506,11
156,8.215467109494762,12
157,4.197993883847382,13
158,11.55889122499623,14
159,11.39614799005709,15
160,27.39693160349879,16
161,62.09573553329037,17
162,74.68447302319436,18
163,72.98997371688161,19
164,36.20340520553802,20
165,21.491693864702878,21
166,8.566517981135727,22
167,13.253590139495287,23
168,1.6253961563616146,0
169,12.400917407340241,1
170,8.149498661162406,2
171,13.591849840863718,3
172,39.72222683118059,4
173,53.221650476931416,5
174,74.24302414966198,6
175,57.210977203911916,7
176,27.91565912998401,8
177,4.830639916851782,9
178,6.296727027110416,10
179,9.266737717820899,11
180,7.118170173237605,12
181,3.709150577883334,13
182,0,14
183,9.531482634631892,15
184,26.307301190602463,16
185,62.441230106448046,17
186,76.59808389360508,18
187,46.78640922586073,19
188,33.9777748658343,20
189,15.59957235916665,21
190,5.027748389811835,22
191,0,23
192,7.230501198942552,0
193,8.502359227687155,1
194,13.8932808520624,2
195,14.440961835252933,3
196,23.09835117140252,4
197,64.19140320762652,5
198,78.71693728645955,6
199,50.95510674602508,7
200,34.69929534480972,8
201,6.076273972553124,9
202,7.439763820425129,10
203,17.500926351130836,11
204,3.508482995053345,12
205,2.4915167711877233,13
206,8.434614669362562,14
207,15.681952017320723,15
208,32.221695335219174,16
209,58.218069403872136,17
210,79.36404906162815,18
211,58.10723042149528,19
212,27.513413962342057,20
213,7.342747224218548,21
214,10.799628143946084,22
215,0,23
216,13.143802549719481,0
217,7.189549104280128,1
218,10.615149911970178,2
219,11.867636044014207,3
220,31.60175452512498,4
221,64.78967774455009,5
222,75.12183806799999,6
223,59.12538038421497,7
224,29.287398371254362,8
225,17.336148734720236,9
226,9.809228970672638,10
227,7.762474653745554,11
228,10.925079969281281,12
229,12.582610192911906,13
230,10.37422918856962,14
231,14.069680196226251,15
232,29.821153646399097,16
233,53.45069058445302,17
234,80.60596469575029,18
235,58.4071254883436,19
236,23.362948051367148,20
237,10.43857460883866,21
238,10.57560014130269,22
239,6.004035102407636,23
240,5.33023483101695,0
241,8.753534738771812,1
