hour,activity
0,80.49849281452683
1,83.68259413879296
2,66.02397496026659
3,99.80882917335725
4,71.00368966508475
5,72.75782711197792
6,63.8266240597251
7,84.31198417217284
8,75.63902500443659
9,73.53888086368408
10,78.03306940604186
11,3.715415251044284
12,2.5000283706252624
13,5.791379263172762
14,5.409569432374038
15,2.5459860678345163
16,0.7845387525814775
17,5.771882511863785
18,3.95569818651995
19,2.272520902483474
20,0.08220931732874615
21,6.542317783297536
22,0
23,0
24,4.44917785416952
25,79.51895995266808
26,64.93920540674425
27,97.52537035185807
28,84.35995009645339
29,74.053972862988
30,68.28319638807551
31,76.78868796312341
32,70.21090733050107
33,86.18569335584972
34,78.57996556039078
35,81.10610937396099
36,8.656506117842266
37,6.052684035014661
38,6.081126654374475
39,0
40,1.2237253483724282
41,0
42,0
43,0
44,0
45,1.4881173755274684
46,4.192737764444083
47,5.323815884914665
48,4.888463222300256
49,2.153019186514265
50,59.206379898537634
51,64.11277295398051
52,87.55037940713939
53,66.99795894756237
54,62.02311982206952
55,63.47086185019071
56,71.9123108830338
57,66.50351349757207
58,73.2004928188648
59,57.53713199602697
60,86.13921619877814
61,2.120951358830942
62,2.5702327892169174
63,0
64,10.125329112424911
65,0.9902662145285683
66,6.809215623857909
67,0.8964341862054708
68,11.651209087137612
69,2.7915909591458825
70,3.947492978910059
71,4.39008970503582
72,0.7742760616462876
73,6.5891064010537255
74,0
75,61.7840036745159
76,74.93320836447074
77,90.63225680077977
78,84.11535678136872
79,81.76140660606488
80,86.0132917397429
81,72.26689510690689
82,90.37661720009343
83,85.11911423018529
84,79.0432947725363
85,0.2494023606439022
86,1.1806349985889881
87,0.45052864268641857
88,0.624617970845998
89,0
90,6.53003748169808
91,0
92,2.6129221590911116
93,2.706564886484079
94,5.340509251701622
95,3.1809106390559534
96,3.126510460288776
97,1.7710816155352218
98,0.11442519674147444
99,6.337904902100081
100,92.09668810513588
101,73.93416303306414
102,71.54466508828088
103,66.45303653788308
104,77.53272724364817
105,69.42238107836252
106,53.9267092415745
107,76.36807588650895
108,73.77757800957647
109,95.6325717983202
110,0
111,1.8103683843416618
112,3.870490661187783
113,0.14001099142884055
114,1.9932908939628013
115,0.789046827335258
116,10.634827940575288
117,3.2132264555725687
118,6.516779852737571
119,9.257321778695925
120,5.943317085703097
121,2.6639360168111224
122,0
123,0
124,0.44956378338586633
125,104.62948849772457
126,74.07474740334926
127,85.38472419038754
128,68.66581406295087
129,75.62774720942248
130,71.88608408202633
131,85.61078458480297
132,70.61995910369316
133,84.92516309401928
134,104.66616740597195
135,3.262158034231918
136,1.6703313261804784
137,2.2833786191827485
138,4.2124767307082704
139,4.440630311446241
140,0.43467585861382085
141,4.754804984511499
142,2.510120640170812
143,1.3133750863869254
144,7.1679512964040715
145,8.06118835204801
146,0
147,1.224134283853409
148,2.0998733676682537
149,55.933584962799145
150,92.04007497312834
151,60.921305338674216
152,88.3357894504628
153,93.91955563724922
154,89.55659293445558
155,78.69929493017088
156,87.18392540806977
157,65.18950990158426
158,67.83801337393436
159,58.02620055472608
160,3.43407411338592
161,0.7874307336694244
162,4.122489780511523
163,0.33760192479353934
164,1.5522300726925908
165,0.1099635826670533
166,7.3903442451266566
167,2.3618522520082355
168,2.5323420574327633
169,1.55980129826993
170,6.716503849816615
171,2.847260193932189
172,3.133063207517609
173,0
174,62.765081033837504
175,75.63353304493883
176,88.12637087039751
177,70.14110688401784
178,75.48137887868882
179,76.49261934057819
180,74.98729404570733
181,79.35321241114612
182,84.72917647343873
183,59.918773738034425
184,72.76803867392549
185,1.5239238921359108
186,1.3145715496761365
187,5.980903653197184
188,8.710564723979735
189,4.323040195931549
190,7.250885772498488
191,2.3615708344572233
192,3.742992364419358
193,2.330852853748223
194,4.0152334274319035
195,12.369779985129615
196,1.8293613945835419
197,3.5642553312749063
198,4.212982099851643
199,49.63521395765942
200,71.33087269333404
201,87.09656623852248
202,72.52210677916649
203,88.58132805495532
204,62.01991059030705
205,75.41743067053712
206,88.01776283546202
207,73.16288955034912
208,81.51804662420126
209,6.929091671581173
210,0.9209740683296297
211,6.47405134495486
212,0
213,4.083864496767127
214,1.762867147172627
215,1.1152101926997553
216,3.5709211583730616
217,5.529765556204645
218,1.4303022864165427
219,0
220,0.8124363086983206
221,5.830800410469543
222,0
223,5.319403439220027
224,76.31491306153643
225,58.27009324865681
226,71.69883940762529
227,68.80783787242434
228,77.35517228207975
229,69.17229823479794
230,81.77239816442946
231,85.06693038935029
232,93.7683721469466
233,86.77247163393803
234,0
235,5.859554498497084
236,4.366575928108368
237,0
238,2.6387439343807393
239,0.9162292857852052
240,0
241,6.402605994337261
242,0
243,2.2240782531942402
244,0.48320892423523176
245,0.9262854593793728
246,0
247,0
248,0.68711520255509
249,78.80589117879381
250,91.38814416165626
251,88.71768955225664
252,71.85097253793604
253,70.74862912257356
254,80.37909821839665
255,87.03791617573945
256,84.62174772024197
257,84.16500230958299
258,84.28963917240246
259,4.341571989717315
260,4.598294682239439
261,6.679559481232747
262,6.005678961448066
263,6.318596954702069
264,0.7579356374631456
265,2.4821859172625294
266,4.39771167628797
267,1.1363514992473616
268,0.6544744344292268
269,0.8274076699160262
270,0.7137652339211948
271,7.53807404796234
272,0.3048235583221679
273,70.26019911882773
274,71.30480918972565
275,70.26138753636265
276,71.49193843465079
277,75.76313735314032
278,79.63403001501523
279,89.08010998223041
280,92.97199553491727
281,75.64536783691227
282,87.40370290104693
283,87.5126348000338
284,0.7007199535970594
285,2.8747653651538854
286,0.9546013062314418
287,7.010517435080034
288,7.181645612303289
289,3.592659103146249
290,2.452324807408215
291,3.670842266883742
292,2.285071611794682
293,3.1102896331383025
294,0
295,8.300649916221445
296,3.1030260077562315
297,1.2670716964484887
298,69.20349745091335
299,58.00894219008056
300,89.24690628948788
301,79.82649731883903
302,82.89332110278063
303,103.00045357180684
304,66.59645951363188
305,93.99322295771549
306,80.51180747856975
307,73.68278332863832
308,65.27328315618443
309,6.178746169836471
310,3.683473270799202
311,1.6198772855531927
312,2.1770887857566383
313,2.809694399024891
314,2.827640727665949
315,0
316,0
317,3.9872723036007818
318,2.9498773381135015
319,0
320,2.083463879778222
321,0
322,9.201571652993536
323,63.22248900516785
324,74.10340804337251
325,83.03276928664944
326,84.24607307146975
327,83.98941162325357
328,79.68154920541573
329,72.55673906083452
330,72.9904649969756
331,79.97491112029279
332,64.01910271157156
333,5.5237264157604695
334,6.838220790020584
335,5.1533736976580595
