hour,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8
0,45.93838937110951,40.9945758082649,47.5842759707309,53.098957704085535,49.9979434087355,26.124780711801836,50.56809301854459,43.88294748176354,27.27062988562362,31.019623855879114,36.073872914483964,35.51233328080554,28.54714132034765,29.673112287424434,34.31322950674144,39.879474066566964
1,56.41249010809902,52.21881578750427,57.00642337774792,73.69984306815422,73.12748385922194,42.61161177263855,54.15153716237784,47.72902651092676,21.693236908044522,23.09100024211383,27.79213319882016,27.70798548740235,34.35034506185403,25.834175628272043,28.06614969909234,19.112714890232517
2,57.227404692083404,62.94562094672626,62.947760170403626,80.03834657745774,77.58711270163623,48.559555580344615,67.67182837460709,46.20179635277681,17.35573035678767,21.691556137034013,26.351871924737704,24.6577931443558,19.768398120587293,29.97949197462012,9.62198417031195,19.01581572632955
3,72.03112149999677,73.73668680151371,83.03599986245207,79.12252090558145,81.45657855097019,64.04073722541857,73.97115659238638,67.27676731809818,23.922095636055055,25.775591126954335,25.485472826489737,32.3778686156902,30.771848165589695,25.31758949067213,28.94402524697264,29.479886642746546
4,87.5161594232962,72.47513840694748,78.93822516022732,95.03989413043823,91.66689456878483,68.96772456738255,84.3058143587124,74.18479544529878,27.130324670373,18.782511369297545,26.419047346084916,26.410588602837443,27.40949278758556,31.608339793388197,38.10644817280882,32.86799280363796
5,86.72423268535786,72.11845899270747,81.99677962058249,94.62556053705438,96.2326825208063,82.9426642730393,96.43106648182936,85.17748302620579,34.27772342031549,41.25565447236293,35.47675050212405,27.38215857060122,33.43579361157271,35.350257857735095,33.8249391022683,41.97983104517653
6,95.91145091643256,92.2892159556914,86.58178948316323,99.52259207764685,94.27770674918835,82.5230093254781,94.18706647470232,88.99127466901264,43.58930677756527,35.91403066318934,27.215583345175848,31.90902857912318,40.12029097978681,36.002385213588624,37.69544406449097,36.441342910252544
7,93.47455273996366,98.41037323195427,98.00190123398009,89.1746624477583,98.04901520460312,81.00239918004141,89.48807634661544,95.37678461002113,45.027216962707236,48.548621163219536,46.774169769182656,46.41027471596,48.15679471197386,39.28415805111078,52.813589398855626,56.88506491461344
8,89.13981877083995,83.10269775106403,95.36446697273206,86.20253177672447,103.42853871385459,97.59382861626388,88.31629033929532,92.95454628493042,60.84220447610008,60.28179109053106,48.011088831991216,51.25901207577993,58.847359506039645,62.51245143926987,66.2364193868034,63.554808219963874
9,94.33316222557823,93.06197740652766,89.60876061382407,90.13662916423797,95.53614833376095,91.32256399169891,96.77262947174748,100.94652834168897,75.79767366412086,66.46753584442266,58.261118672345454,59.05471155120772,69.1553900279043,63.29185296233457,70.31823206293204,78.7540171381273
10,80.8237394194341,89.67123011391934,87.2051063045879,76.03169635509695,83.44997110967302,87.5689797576281,89.14516044082545,92.27343536129305,69.67806349588483,75.9072609753463,60.91298314486035,66.17454976518796,78.95591486739742,73.62584179918414,88.92433430370515,86.96441789300918
11,81.8943324483935,80.49274556776695,89.30406936293943,68.75948903644075,84.81760538584898,93.5672156642488,63.06026054764487,94.79083252453812,74.16924103494041,84.8476543226593,78.69010146030223,88.00175872066033,87.93061772804724,85.50280017973893,88.76929131776177,93.94971601468254
12,70.24144703712722,77.37616045338893,60.02995236795135,59.540700099115035,66.58425513025988,85.25106910676841,79.51978595239304,80.53888576471209,84.79907121881682,79.41511562163039,89.62763025336568,90.26344248710903,86.89115274030945,80.74425477084915,90.10954063760353,94.50116039360262
13,55.40763084490272,60.09343219153569,63.073309536134424,48.563169322148845,55.492765606564774,69.1840079269518,60.772073426448735,77.03032257456792,98.38135917468585,92.38167308001363,87.28248158239644,93.30667891546084,94.90374025718003,86.63285503554339,96.75983079959839,91.77263183607896
14,59.5337512167526,62.900406922891825,60.010424085751836,37.76540305743029,48.91307822468049,64.23481807388758,56.73304921534458,58.063415655202995,81.82240868649197,102.92216066150954,86.73634449508246,92.5461965929684,92.23198631458901,94.69933881316798,89.45761947506256,99.71219329157427
15,47.054042411540344,56.272463912542904,37.01754373752473,31.722249834332317,43.110942032641404,59.7045180976915,40.530162960097215,62.38037993105876,93.73847804621356,94.72864770804723,104.50858147626427,94.46224943882234,92.27830238486754,104.63576165080067,98.91989387399329,94.57629800938524
16,40.558730893613586,50.673634343843744,31.73639071596731,25.857547225704884,33.335628811820776,38.09688743383832,36.022687643913834,57.554323181977246,87.95915148827685,83.59806466162837,97.11357660834894,93.49801349016643,85.84639580878031,91.00569144886995,96.02081536640475,85.82500995597958
17,27.90276198543786,28.72334565679267,40.86355109594431,23.167389893590578,24.367862821541163,42.78522146849615,41.645913735270156,37.14766034615763,88.70677385887313,73.47885238462591,84.60583772090385,85.56300286294433,83.23208203186654,91.84031276722838,85.08536517786588,67.03002578858703
18,21.59597913820052,36.4195166505112,34.05193431960285,28.1101909830282,26.140197628463476,40.61962594326121,30.32001575363106,39.009252906622066,81.87822127857241,80.01763984424608,81.84216356302208,91.29674826142161,80.0732025509449,80.17665702010828,77.41592916077948,68.71078702367723
19,26.81067639563016,31.48486684499827,19.034326379563353,26.939826892528952,21.93567988134284,36.97463486165954,21.79778889999478,26.646576951448,73.38142854414721,68.91763245750931,77.30312848366528,76.60454524054694,76.95366364276524,79.1968923128355,61.14430669153212,58.24081487353527
20,27.20797712201081,32.52755061740308,26.059042480000592,25.110542856632723,27.06869972837712,30.069222900641236,28.954678079438562,22.567724991192556,60.70173115951483,60.216062731699544,64.71355323805074,59.381378040132006,61.99054436890912,59.33405258354003,50.32586059392414,40.73305969166385
21,36.107888502815925,22.174250787409527,25.169412848980706,40.62047329389411,19.256863811939837,27.22431048401492,22.11867160098279,24.80339431070955,60.66979464569553,47.333650633837145,56.87184383502879,62.402335369578026,55.51115700185181,52.912733576512096,50.5346935180278,52.84582565077559
22,40.824082258213096,24.04833427118862,37.91441750766077,45.58704358151143,41.7587305723562,22.77094813797455,31.48253325770441,38.31356214390042,39.04329729634,41.30458722536753,49.35324341031568,45.18528008969397,42.016006236390695,44.610061377281845,40.7301424340961,30.27236216757524
23,35.958837812336945,44.99882848850883,33.26135628156615,45.89378227414309,43.535761649606066,30.335203651095075,36.249280953130935,35.05838173068669,37.4864090283765,36.27377798198489,43.783938546016714,41.82475793206553,31.452621756245843,36.98451681155038,28.753662490184208,37.55947502074514
24,42.060751874356356,39.496840272200465,46.76626802885619,67.68541687801084,50.42641835798072,36.0771118731731,47.808787858666285,39.74529994674982,27.760033484226526,29.9074403330232,40.251364498567725,29.632699941629372,24.96367496982255,44.15864089816059,32.100361880759515,31.05112656826643
25,62.50727312111044,52.881203523163535,63.15493548091407,70.35845499289955,72.11995701101729,38.910380049303825,55.91858240357615,45.32070434248145,35.73348240743615,28.92711080060025,26.203233767469655,29.838304950389773,24.191658966344622,31.996153141614375,26.56195376610141,30.322550746655704
26,72.76146395818095,57.23110916915043,67.76907128099494,80.0718692508409,64.23673975342908,45.60065493907845,63.14496386717004,51.28257307417834,22.588376879287466,32.23458490057443,31.67021973093678,27.272144295845337,28.978906544597063,23.73914888175882,25.774094017663064,36.97859265501434
27,72.56343787106195,63.08118370266324,71.44688845486145,90.42066117825841,82.98365029202418,65.98147315381523,73.24318738699563,69.47235069082986,26.483154364938784,22.04926857890665,21.617649169003705,23.801672029879274,27.930039867398417,16.85599270099043,25.38235007146856,33.18239331000038
28,83.35940858074306,78.95401961662552,84.685984775497,79.0713476099967,89.83150955385838,78.8317350680667,78.17668332916385,76.04306609663891,33.98685975587898,29.352620619609723,24.652907500507965,29.865418369015003,35.75399598473829,33.978550069868646,28.120823718096347,24.088925621578134
29,86.16780471236362,81.25909177691005,98.29593911135656,93.30059587099434,93.00113086789501,76.79010080373979,86.24725396188344,74.9727155006191,30.999105956556313,31.5117393630414,23.185816032949937,39.3077584783987,32.482575156476756,35.05361086136285,42.26136827581493,40.531774606356535
30,92.30312653537467,92.24125577319778,103.77402956498402,91.0173597114914,101.00812999219447,97.83403104238609,95.5937616969181,89.41985816506453,41.87653471236186,39.95512177449735,37.95918263441637,38.459028614636345,31.613369242147833,43.57129217902288,45.027069216001046,48.336050225900394
