hour (30 min epochs),activity (30 min),hour (13 h epochs),activity (13 h)
0,48.966306363653274,0,62.35529502422068
0.5,49.096711872280295,13,36.88470052103294
1,60.90169077251696,26,74.36922993287054
1.5,59.938920403816724,39,37.976451450749806
2,73.23935754774116,52,86.1960321935011
2.5,70.83817133825328,65,21.933097449554793
3,77.00029027156258,78,85.34773357923375
3.5,74.34055002141555,91,9.576951093904523
4,89.44554271289428,104,88.04328290403836
4.5,77.8950028069442,117,29.534839145908595
5,84.18515548384177,130,63.32778283381755
5.5,76.7109747232116,143,38.7421613047873
6,97.2621363346835,156,58.24767629437886
6.5,91.9700988937241,169,66.27315255008344
7,92.57072630933575,182,35.89080566036086
7.5,77.53521380165853,195,71.33518825308236
8,86.25000922004624,208,27.092321022872014
8.5,81.91012663870666,221,96.30950713351021
9,85.23890500537097,234,9.616641937095052
9.5,74.37367652638265,247,84.14005580088886
10,73.33862210383046,260,10.716293068749486
10.5,65.9836330398612,273,83.10334668570032
11,64.48895455300782,286,27.82982757527598
11.5,67.46619097920949,299,53.62994255139526
12,39.22678645744759,312,52.37715214812772
12.5,44.788072972694565,325,31.956102295746827
13,41.62472434437994,338,65.38052740128637
13.5,39.99846370356202,351,29.543400132197597
14,25.4690389103025,364,89.92720861027976
14.5,24.7798758199172,377,7.679609228003406
15,24.25697524588517,390,93.26785356973942
15.5,20.989940960417552,403,3.4187247191557253
16,17.691106259265784,416,97.59793022573368
16.5,24.069612788210165,429,23.181229505895903
17,10.282859037182943,442,72.28578404746555
17.5,12.878316840941695,455,44.616560416462306
18,20.504241538616895,,
18.5,11.441192043315601,,
19,8.92161458948642,,
19.5,0.9211994515540525,,
20,11.512948509958715,,
20.5,33.54244640955038,,
21,25.892629739918824,,
21.5,9.907144725298302,,
22,25.4070338753125,,
22.5,43.332609084665926,,
23,55.61276217287835,,
23.5,46.684748786875936,,
24,52.803263505312636,,
24.5,57.276973949111,,
25,74.22216643800346,,
25.5,67.20635484205182,,
26,80.67462373491516,,
